trial_id,deadzone_px,target_size,target_speed,target_distance,success,time_to_lock,hit_ratio
184,4,0.8,5,4,0,10.0,0.0
185,4,1.0,5,4,0,10.0,0.0
186,4,0.2,10,4,0,10.0,0.0
187,4,0.4,10,4,0,10.0,0.0
188,4,0.6,10,4,0,10.0,0.0
189,4,0.8,10,4,0,10.0,0.0
190,4,1.0,10,4,0,10.0,0.0
191,4,0.2,20,4,0,10.0,0.0
192,4,0.4,20,4,0,10.0,0.0
193,4,0.6,20,4,0,10.0,0.0
194,4,0.8,20,4,0,10.0,0.0
195,4,1.0,20,4,0,10.0,0.0
196,4,0.2,40,4,0,10.0,0.0
197,4,0.4,40,4,0,10.0,0.0
198,4,0.6,40,4,0,10.0,0.0
199,4,0.8,40,4,0,10.0,0.0
200,4,1.0,40,4,0,10.0,0.0
201,4,0.2,60,4,0,10.0,0.0
202,4,0.4,60,4,0,10.0,0.0
203,4,0.6,60,4,0,10.0,0.0
204,4,0.8,60,4,0,10.0,0.0
205,4,1.0,60,4,0,10.0,0.0
206,4,0.2,80,4,0,10.0,0.0
207,4,0.4,80,4,0,10.0,0.0
208,4,0.6,80,4,0,10.0,0.0
209,4,0.8,80,4,0,10.0,0.0
210,4,1.0,80,4,0,10.0,0.0
211,4,0.2,3,6,0,10.0,0.0
212,4,0.4,3,6,0,10.0,0.0
213,4,0.6,3,6,0,10.0,0.0
214,4,0.8,3,6,0,10.0,0.0
215,4,1.0,3,6,0,10.0,0.0
216,4,0.2,5,6,0,10.0,0.0
217,4,0.4,5,6,0,10.0,0.0
218,4,0.6,5,6,0,10.0,0.0
219,4,0.8,5,6,0,10.0,0.0
220,4,1.0,5,6,0,10.0,0.0
221,4,0.2,10,6,0,10.0,0.0
222,4,0.4,10,6,0,10.0,0.0
223,4,0.6,10,6,0,10.0,0.0
224,4,0.8,10,6,0,10.0,0.0
225,4,1.0,10,6,0,10.0,0.0
226,4,0.2,20,6,0,10.0,0.0
227,4,0.4,20,6,0,10.0,0.0
228,4,0.6,20,6,0,10.0,0.0
229,4,0.8,20,6,0,10.0,0.0
230,4,1.0,20,6,0,10.0,0.0
231,4,0.2,40,6,0,10.0,0.0
232,4,0.4,40,6,0,10.0,0.0
233,4,0.6,40,6,0,10.0,0.0
234,4,0.8,40,6,0,10.0,0.0
235,4,1.0,40,6,0,10.0,0.0
236,4,0.2,60,6,0,10.0,0.0
237,4,0.4,60,6,0,10.0,0.0
238,4,0.6,60,6,0,10.0,0.0
239,4,0.8,60,6,0,10.0,0.0
240,4,1.0,60,6,0,10.0,0.0
241,4,0.2,80,6,0,10.0,0.0
242,4,0.4,80,6,0,10.0,0.0
